Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetQubitsFromTuple",34,0.01,0x7FFB6FF0DA5D,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsCallable",34,0.01,0x7FFB6FF1254F,0,0,0,0,
"[KernelBase.dll]",33,0.01,0x7FFC1D5DB1F7,0,0,0,0,
"[KernelBase.dll]",33,0.01,0x7FFC1D5DB227,0,0,0,0,
"Microsoft.Quantum.Primitive.CNOT.get_X",33,0.01,0x7FFB6FF286E5,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits",33,0.01,0x7FFB6FF0C46E,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.JoinArrays",33,0.01,0x7FFB6FF1609B,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",33,0.01,0x7FFB6FF1280F,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetToQubitArrayMap",33,0.01,0x7FFB6FF0CF1C,0,0,0,0,
"[KernelBase.dll]",32,0.01,0x7FFC1D60D1F4,0,0,0,0,
"[Unknown]",32,0.01,0x7FFB6FDAD440,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon],System.__Canon].FindPartialType",32,0.01,0x7FFB6FF20C67,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<>c__DisplayClass8_0`2[System.ValueTuple`2[System.Int64,System.__Canon],System.ValueTuple`4[System.Int64,System.Int64,System.Int64,System.__Canon]].<Create>b__0",32,0.01,0x7FFB6FF1A1A7,0,0,0,0,
"[Unknown]",31,0.01,0x7FFB6FDAD5A0,0,0,0,0,
"[Unknown]",31,0.01,0x7FFB6FE66100,0,0,0,0,
"Microsoft.Quantum.Canon.ApproximateQFT.<get_AdjointBody>b__15_0",31,0.01,0x7FFB700E18C0,0,0,0,0,
"Microsoft.Quantum.Primitive.CNOT.get_Body",31,0.01,0x7FFB6FF28488,0,0,0,0,
